//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-07-16
//METADATA;STIME;12:23
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0128
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;455
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;BY311807162.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180716_77FY_0128.txt
//METADATA;WINDIR;09
//METADATA;WINSP;3
//METADATA;AIRTEMP;20
//METADATA;AIRPRES;
//METADATA;WEATH;0
//METADATA;CLOUD;0
//METADATA;WAVES;3
//METADATA;ICEOB;0
//METADATA;timestamp;2018-07-16 12:23:07
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.15  25.10.2013
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM908\CONFIG\CTM908.SPJ
//INSTRUMENT_METADATA;den 17 juli 2018 18:04:15
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2013
//INSTRUMENT_METADATA;001 CTM908 001  N  Vbatt  Volt -1.56613000000E+0001  5.02053000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 002  P  Press  dbar -2.84592700000E+0001  8.80824000000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -1.49586640000E-0001 
//INSTRUMENT_METADATA;001 CTM908 003  N   Temp    °C -2.33626400000E+0000  5.89281300000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 004  N   Cond mS/cm -3.17130950000E-0001  1.21221819000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 005 VO4 rawO2    mV -9.24121000000E+0000  7.82771000000E-0002  1.01900000000E+0003  0.00000000000E+0000  1.43320858000E+0002  1.12034222000E+0000 
//INSTRUMENT_METADATA;001 CTM908 006 N24  T_iS   °C  -8.73922000000E-0003  7.86519000000E-0005 -1.00147000000E+0001  4.95301000000E+0001  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 007 NFC   PAR   µE  -2.58676000000E-0003  7.84093000000E-0005  0.00000000000E+0000  0.00000000000E+0000  1.25961000000E-0001  1.62804000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD908\v29\BY311807162.SRD
//INSTRUMENT_METADATA;Lines :       1776
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA      sat    DO_mg    DO_ml      PAR    Vbatt     T_iS   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [   % ]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt]  [  °C ] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus	DEPH
2018	07	16	12	23	07	2018_77FY_	BY31	58.58333	18.23333	-0.13		22.755		-0.065		6.02		477.42												-0.133
2018	07	16	12	24	15	2018_77FY_	BY31	58.58333	18.23333	-0.04		19.961		9.439		8.32		4143.12												-0.041
2018	07	16	12	24	16	2018_77FY_	BY31	58.58333	18.23333	0.21		19.844		9.401		8.50		3886.79												0.213
2018	07	16	12	24	17	2018_77FY_	BY31	58.58333	18.23333	0.45		19.807		9.396		8.51		1982.71												0.457
2018	07	16	12	24	32	2018_77FY_	BY31	58.58333	18.23333	0.72		19.392		9.293		8.54		1700.85												0.731
2018	07	16	12	24	33	2018_77FY_	BY31	58.58333	18.23333	0.95		19.395		9.276		8.55		1300.02												0.964
2018	07	16	12	24	35	2018_77FY_	BY31	58.58333	18.23333	1.23		19.282		9.251		8.61		1191.26												1.249
2018	07	16	12	24	35	2018_77FY_	BY31	58.58333	18.23333	1.47		19.267		9.241		8.63		1083.52												1.493
2018	07	16	12	24	38	2018_77FY_	BY31	58.58333	18.23333	1.69		19.390		9.302		8.66		1000.80												1.716
2018	07	16	12	25	05	2018_77FY_	BY31	58.58333	18.23333	1.98		19.110		9.301		8.43		778.69												2.011
2018	07	16	12	25	07	2018_77FY_	BY31	58.58333	18.23333	2.20		18.933		9.360		8.46		675.03												2.234
2018	07	16	12	25	08	2018_77FY_	BY31	58.58333	18.23333	2.49		18.797		9.390		8.44		612.23												2.528
2018	07	16	12	25	08	2018_77FY_	BY31	58.58333	18.23333	2.70		18.883		9.305		8.37		559.63												2.742
2018	07	16	12	25	09	2018_77FY_	BY31	58.58333	18.23333	3.00		18.985		9.295		8.31		503.98												3.046
2018	07	16	12	25	10	2018_77FY_	BY31	58.58333	18.23333	3.22		18.982		9.348		8.33		466.70												3.270
2018	07	16	12	25	10	2018_77FY_	BY31	58.58333	18.23333	3.50		18.636		9.766		8.40		423.30												3.554
2018	07	16	12	25	11	2018_77FY_	BY31	58.58333	18.23333	3.71		18.435		10.011		8.32		390.11												3.767
2018	07	16	12	25	12	2018_77FY_	BY31	58.58333	18.23333	3.98		18.308		10.027		8.10		347.73												4.041
2018	07	16	12	25	12	2018_77FY_	BY31	58.58333	18.23333	4.24		18.154		9.970		7.92		313.52												4.305
2018	07	16	12	25	13	2018_77FY_	BY31	58.58333	18.23333	4.47		17.862		9.884		7.66		283.39												4.538
2018	07	16	12	25	14	2018_77FY_	BY31	58.58333	18.23333	4.70		17.700		9.836		7.48		259.39												4.772
2018	07	16	12	25	15	2018_77FY_	BY31	58.58333	18.23333	4.94		17.571		9.825		7.30		231.31												5.015
2018	07	16	12	25	16	2018_77FY_	BY31	58.58333	18.23333	5.21		17.607		9.869		7.19		208.84												5.289
2018	07	16	12	25	16	2018_77FY_	BY31	58.58333	18.23333	5.44		17.622		9.875		7.16		188.42												5.523
2018	07	16	12	25	17	2018_77FY_	BY31	58.58333	18.23333	5.73		17.615		9.897		7.16		172.08												5.817
2018	07	16	12	25	18	2018_77FY_	BY31	58.58333	18.23333	5.97		17.619		9.899		7.17		158.80												6.061
2018	07	16	12	25	19	2018_77FY_	BY31	58.58333	18.23333	6.23		17.582		9.885		7.17		142.97												6.324
2018	07	16	12	25	20	2018_77FY_	BY31	58.58333	18.23333	6.50		17.537		9.872		7.16		127.65												6.598
2018	07	16	12	25	20	2018_77FY_	BY31	58.58333	18.23333	6.72		17.494		9.858		7.16		117.44												6.822
2018	07	16	12	25	21	2018_77FY_	BY31	58.58333	18.23333	6.95		17.436		9.834		7.15		108.25												7.055
2018	07	16	12	25	21	2018_77FY_	BY31	58.58333	18.23333	7.23		17.328		9.804		7.15		97.53												7.339
2018	07	16	12	25	22	2018_77FY_	BY31	58.58333	18.23333	7.49		17.287		9.805		7.13		88.85												7.603
2018	07	16	12	25	23	2018_77FY_	BY31	58.58333	18.23333	7.72		17.238		9.788		7.12		80.68												7.836
2018	07	16	12	25	23	2018_77FY_	BY31	58.58333	18.23333	7.95		17.129		9.744		7.12		74.04												8.070
2018	07	16	12	25	24	2018_77FY_	BY31	58.58333	18.23333	8.22		17.047		9.772		7.08		66.89												8.344
2018	07	16	12	25	25	2018_77FY_	BY31	58.58333	18.23333	8.47		17.090		9.806		7.03		59.74												8.597
2018	07	16	12	25	26	2018_77FY_	BY31	58.58333	18.23333	8.71		17.068		9.798		7.01		55.15												8.841
2018	07	16	12	25	27	2018_77FY_	BY31	58.58333	18.23333	8.99		17.028		9.785		7.01		50.55												9.125
2018	07	16	12	25	27	2018_77FY_	BY31	58.58333	18.23333	9.20		16.989		9.762		7.00		47.49												9.338
2018	07	16	12	25	28	2018_77FY_	BY31	58.58333	18.23333	9.48		16.869		9.658		7.00		42.89												9.622
2018	07	16	12	25	29	2018_77FY_	BY31	58.58333	18.23333	9.75		16.547		9.510		7.02		38.81												9.896
2018	07	16	12	25	29	2018_77FY_	BY31	58.58333	18.23333	9.97		16.368		9.475		7.01		35.74												10.119
2018	07	16	12	25	30	2018_77FY_	BY31	58.58333	18.23333	10.21		16.316		9.456		6.99		32.68												10.363
2018	07	16	12	25	31	2018_77FY_	BY31	58.58333	18.23333	10.53		16.372		9.498		6.95		29.62												10.687
2018	07	16	12	25	31	2018_77FY_	BY31	58.58333	18.23333	10.69		16.391		9.496		6.95		28.08												10.849
2018	07	16	12	25	32	2018_77FY_	BY31	58.58333	18.23333	11.01		16.446		9.547		6.93		25.53												11.174
2018	07	16	12	25	32	2018_77FY_	BY31	58.58333	18.23333	11.23		16.655		9.712		6.90		23.49												11.397
2018	07	16	12	25	33	2018_77FY_	BY31	58.58333	18.23333	11.46		16.745		9.732		6.91		21.45												11.631
2018	07	16	12	25	33	2018_77FY_	BY31	58.58333	18.23333	11.72		16.728		9.731		6.94		19.40												11.894
2018	07	16	12	25	34	2018_77FY_	BY31	58.58333	18.23333	11.99		16.672		9.721		6.96		17.87												12.168
2018	07	16	12	25	35	2018_77FY_	BY31	58.58333	18.23333	12.20		16.613		9.708		6.97		16.85												12.381
2018	07	16	12	25	36	2018_77FY_	BY31	58.58333	18.23333	12.45		16.540		9.691		6.97		15.83												12.635
2018	07	16	12	25	36	2018_77FY_	BY31	58.58333	18.23333	12.71		16.472		9.668		6.97		14.81												12.899
2018	07	16	12	25	37	2018_77FY_	BY31	58.58333	18.23333	13.01		16.293		9.605		6.96		13.28												13.203
2018	07	16	12	25	38	2018_77FY_	BY31	58.58333	18.23333	13.26		16.219		9.593		6.93		12.25												13.457
2018	07	16	12	25	38	2018_77FY_	BY31	58.58333	18.23333	13.48		16.197		9.588		6.92		11.23												13.680
2018	07	16	12	25	39	2018_77FY_	BY31	58.58333	18.23333	13.71		16.184		9.581		6.90		10.72												13.913
2018	07	16	12	25	39	2018_77FY_	BY31	58.58333	18.23333	14.00		16.162		9.582		6.88		9.70												14.207
2018	07	16	12	25	40	2018_77FY_	BY31	58.58333	18.23333	14.28		16.157		9.594		6.86		9.19												14.491
