//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-04-09
//METADATA;STIME;11:09
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0026
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;456
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By311804092.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180409_77FY_0026.txt
//METADATA;WINDIR;36
//METADATA;WINSP;4
//METADATA;AIRTEMP;4
//METADATA;AIRPRES;
//METADATA;WEATH;1
//METADATA;CLOUD;3
//METADATA;WAVES;2
//METADATA;ICEOB;0
//METADATA;timestamp;2018-04-09 11:09:13
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 10 april 2018 09:41:49
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -8.05462592000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.27144976000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By311804092.SRD
//INSTRUMENT_METADATA;Lines :       1776
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	04	09	11	09	13	2018_77FY_	BY31	58.58333	18.23333	0.27		3.456		-0.034		-24.65		1220.99											
2018	04	09	11	09	39	2018_77FY_	BY31	58.58333	18.23333	0.40		2.426		6.914		9.31		542.74											
2018	04	09	11	09	40	2018_77FY_	BY31	58.58333	18.23333	0.62		2.398		6.930		9.67		561.37											
2018	04	09	11	09	49	2018_77FY_	BY31	58.58333	18.23333	0.87		2.377		6.887		10.50		153.35											
2018	04	09	11	09	50	2018_77FY_	BY31	58.58333	18.23333	1.12		2.391		6.875		10.49		139.38											
2018	04	09	11	09	51	2018_77FY_	BY31	58.58333	18.23333	1.38		2.395		6.874		10.50		121.41											
2018	04	09	11	09	52	2018_77FY_	BY31	58.58333	18.23333	1.62		2.394		6.877		10.51		104.90											
2018	04	09	11	09	53	2018_77FY_	BY31	58.58333	18.23333	1.89		2.401		6.862		10.50		97.31											
2018	04	09	11	09	54	2018_77FY_	BY31	58.58333	18.23333	2.15		2.386		6.885		10.44		84.66											
2018	04	09	11	10	15	2018_77FY_	BY31	58.58333	18.23333	2.38		2.390		6.861		10.47		76.68											
2018	04	09	11	10	16	2018_77FY_	BY31	58.58333	18.23333	2.64		2.388		6.854		10.48		70.95											
2018	04	09	11	10	16	2018_77FY_	BY31	58.58333	18.23333	2.90		2.399		6.834		10.46		65.36											
2018	04	09	11	10	17	2018_77FY_	BY31	58.58333	18.23333	3.19		2.402		6.840		10.46		59.24											
2018	04	09	11	10	17	2018_77FY_	BY31	58.58333	18.23333	3.48		2.401		6.845		10.47		52.71											
2018	04	09	11	10	17	2018_77FY_	BY31	58.58333	18.23333	3.75		2.396		6.849		10.47		47.12											
2018	04	09	11	10	18	2018_77FY_	BY31	58.58333	18.23333	3.88		2.394		6.846		10.46		44.73											
2018	04	09	11	10	18	2018_77FY_	BY31	58.58333	18.23333	4.20		2.406		6.828		10.45		38.74											
2018	04	09	11	10	19	2018_77FY_	BY31	58.58333	18.23333	4.41		2.414		6.829		10.46		35.54											
2018	04	09	11	10	19	2018_77FY_	BY31	58.58333	18.23333	4.68		2.421		6.828		10.44		32.21											
2018	04	09	11	10	20	2018_77FY_	BY31	58.58333	18.23333	4.87		2.424		6.828		10.43		29.95											
2018	04	09	11	10	21	2018_77FY_	BY31	58.58333	18.23333	5.13		2.422		6.831		10.44		27.42											
2018	04	09	11	10	22	2018_77FY_	BY31	58.58333	18.23333	5.40		2.425		6.829		10.46		25.56											
2018	04	09	11	10	23	2018_77FY_	BY31	58.58333	18.23333	5.65		2.428		6.828		10.43		23.83											
2018	04	09	11	10	23	2018_77FY_	BY31	58.58333	18.23333	5.93		2.430		6.838		10.42		22.23											
2018	04	09	11	10	24	2018_77FY_	BY31	58.58333	18.23333	6.15		2.414		6.857		10.44		21.03											
2018	04	09	11	10	25	2018_77FY_	BY31	58.58333	18.23333	6.39		2.404		6.860		10.44		19.83											
2018	04	09	11	10	25	2018_77FY_	BY31	58.58333	18.23333	6.66		2.383		6.866		10.45		18.50											
2018	04	09	11	10	26	2018_77FY_	BY31	58.58333	18.23333	6.89		2.377		6.866		10.46		17.30											
2018	04	09	11	10	26	2018_77FY_	BY31	58.58333	18.23333	7.12		2.381		6.867		10.48		16.37											
2018	04	09	11	10	27	2018_77FY_	BY31	58.58333	18.23333	7.37		2.362		6.864		10.53		15.17											
2018	04	09	11	10	27	2018_77FY_	BY31	58.58333	18.23333	7.62		2.364		6.863		10.57		14.11											
2018	04	09	11	10	28	2018_77FY_	BY31	58.58333	18.23333	7.92		2.367		6.864		10.57		13.04											
2018	04	09	11	10	29	2018_77FY_	BY31	58.58333	18.23333	8.12		2.367		6.863		10.56		12.38											
2018	04	09	11	10	29	2018_77FY_	BY31	58.58333	18.23333	8.40		2.367		6.867		10.57		11.58											
2018	04	09	11	10	30	2018_77FY_	BY31	58.58333	18.23333	8.64		2.358		6.874		10.58		10.91											
2018	04	09	11	10	30	2018_77FY_	BY31	58.58333	18.23333	8.89		2.335		6.878		10.60		10.38											
2018	04	09	11	10	31	2018_77FY_	BY31	58.58333	18.23333	9.18		2.337		6.889		10.60		9.72											
2018	04	09	11	10	32	2018_77FY_	BY31	58.58333	18.23333	9.41		2.337		6.897		10.59		9.05											
2018	04	09	11	10	33	2018_77FY_	BY31	58.58333	18.23333	9.64		2.328		6.907		10.58		8.78											
2018	04	09	11	10	33	2018_77FY_	BY31	58.58333	18.23333	9.87		2.319		6.925		10.56		8.38											
2018	04	09	11	10	34	2018_77FY_	BY31	58.58333	18.23333	10.13		2.308		6.945		10.54		8.25											
2018	04	09	11	10	35	2018_77FY_	BY31	58.58333	18.23333	10.39		2.318		6.949		10.49		7.85											
2018	04	09	11	10	35	2018_77FY_	BY31	58.58333	18.23333	10.65		2.328		6.952		10.43		7.59											
2018	04	09	11	10	36	2018_77FY_	BY31	58.58333	18.23333	10.89		2.327		6.953		10.40		7.45											
2018	04	09	11	10	37	2018_77FY_	BY31	58.58333	18.23333	11.16		2.335		6.956		10.37		7.32											
2018	04	09	11	10	38	2018_77FY_	BY31	58.58333	18.23333	11.44		2.337		6.957		10.38		7.19											
2018	04	09	11	10	39	2018_77FY_	BY31	58.58333	18.23333	11.63		2.348		6.961		10.37		7.05											
2018	04	09	11	10	39	2018_77FY_	BY31	58.58333	18.23333	11.90		2.375		6.973		10.33		6.79											
2018	04	09	11	10	40	2018_77FY_	BY31	58.58333	18.23333	12.14		2.388		6.980		10.29		6.65											
2018	04	09	11	10	41	2018_77FY_	BY31	58.58333	18.23333	12.40		2.388		6.983		10.26		6.52											
2018	04	09	11	10	41	2018_77FY_	BY31	58.58333	18.23333	12.67		2.385		6.984		10.22		6.39											
2018	04	09	11	10	43	2018_77FY_	BY31	58.58333	18.23333	12.87		2.377		6.984		10.19		6.39											
2018	04	09	11	10	43	2018_77FY_	BY31	58.58333	18.23333	13.15		2.371		6.985		10.17		6.25											
2018	04	09	11	10	44	2018_77FY_	BY31	58.58333	18.23333	13.45		2.372		6.987		10.14		6.25											
2018	04	09	11	10	44	2018_77FY_	BY31	58.58333	18.23333	13.62		2.374		6.987		10.13		6.12											
2018	04	09	11	10	45	2018_77FY_	BY31	58.58333	18.23333	13.87		2.374		6.989		10.10		5.99											
2018	04	09	11	10	46	2018_77FY_	BY31	58.58333	18.23333	14.12		2.375		6.989		10.08		5.99											
2018	04	09	11	10	47	2018_77FY_	BY31	58.58333	18.23333	14.38		2.374		6.988		10.04		5.86											
2018	04	09	11	10	48	2018_77FY_	BY31	58.58333	18.23333	14.69		2.374		6.989		10.03		5.72											
2018	04	09	11	10	49	2018_77FY_	BY31	58.58333	18.23333	14.93		2.375		6.989		10.03		5.72											
2018	04	09	11	10	49	2018_77FY_	BY31	58.58333	18.23333	15.14		2.374		6.988		10.04		5.72											
2018	04	09	11	10	50	2018_77FY_	BY31	58.58333	18.23333	15.38		2.374		6.989		10.03		5.72											
