//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-05-23
//METADATA;STIME;07:09
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0125
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;459
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By311805232.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180523_77FY_0125.txt
//METADATA;WINDIR;99
//METADATA;WINSP;2
//METADATA;AIRTEMP;13
//METADATA;AIRPRES;
//METADATA;WEATH;0
//METADATA;CLOUD;0
//METADATA;WAVES;0
//METADATA;ICEOB;0
//METADATA;timestamp;2018-05-23 07:09:42
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 24 maj 2018 08:51:34
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -5.33408576000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.12344243000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By311805232.SRD
//INSTRUMENT_METADATA;Lines :       1778
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	05	23	07	09	42	2018_77FY_	BY31	58.58333	18.23333	0.23		14.822		-0.033		-17.95		3108.13											
2018	05	23	07	10	23	2018_77FY_	BY31	58.58333	18.23333	0.39		13.309		8.753		6.76		2877.17											
2018	05	23	07	10	23	2018_77FY_	BY31	58.58333	18.23333	0.60		13.329		8.752		7.00		3055.28											
2018	05	23	07	10	31	2018_77FY_	BY31	58.58333	18.23333	0.85		13.332		8.754		8.17		553.65											
2018	05	23	07	10	33	2018_77FY_	BY31	58.58333	18.23333	1.10		13.328		8.735		8.19		695.03											
2018	05	23	07	10	34	2018_77FY_	BY31	58.58333	18.23333	1.40		13.268		8.717		8.21		485.49											
2018	05	23	07	10	35	2018_77FY_	BY31	58.58333	18.23333	1.63		13.115		8.693		8.24		612.09											
2018	05	23	07	10	36	2018_77FY_	BY31	58.58333	18.23333	1.86		13.133		8.672		8.27		430.25											
2018	05	23	07	10	37	2018_77FY_	BY31	58.58333	18.23333	2.12		13.047		8.671		8.30		382.86											
2018	05	23	07	10	45	2018_77FY_	BY31	58.58333	18.23333	2.36		13.046		8.680		8.40		365.95											
2018	05	23	07	11	20	2018_77FY_	BY31	58.58333	18.23333	2.62		12.952		8.660		8.44		276.36											
2018	05	23	07	11	21	2018_77FY_	BY31	58.58333	18.23333	2.90		12.640		8.637		8.56		246.14											
2018	05	23	07	11	22	2018_77FY_	BY31	58.58333	18.23333	3.14		12.558		8.633		8.60		232.16											
2018	05	23	07	11	22	2018_77FY_	BY31	58.58333	18.23333	3.41		12.294		8.634		8.66		216.19											
2018	05	23	07	11	23	2018_77FY_	BY31	58.58333	18.23333	3.60		12.091		8.631		8.69		196.62											
2018	05	23	07	11	24	2018_77FY_	BY31	58.58333	18.23333	3.90		12.050		8.629		8.80		185.17											
2018	05	23	07	11	24	2018_77FY_	BY31	58.58333	18.23333	4.14		11.874		8.628		8.96		164.40											
2018	05	23	07	11	25	2018_77FY_	BY31	58.58333	18.23333	4.39		11.820		8.622		9.04		152.56											
2018	05	23	07	11	26	2018_77FY_	BY31	58.58333	18.23333	4.64		11.690		8.612		9.10		145.63											
2018	05	23	07	11	26	2018_77FY_	BY31	58.58333	18.23333	4.85		11.619		8.607		9.19		131.39											
2018	05	23	07	11	27	2018_77FY_	BY31	58.58333	18.23333	5.10		11.587		8.611		9.27		124.33											
2018	05	23	07	11	28	2018_77FY_	BY31	58.58333	18.23333	5.37		11.586		8.628		9.32		110.89											
2018	05	23	07	11	29	2018_77FY_	BY31	58.58333	18.23333	5.61		11.601		8.640		9.35		103.17											
2018	05	23	07	11	30	2018_77FY_	BY31	58.58333	18.23333	5.87		11.639		8.681		9.36		95.31											
2018	05	23	07	11	30	2018_77FY_	BY31	58.58333	18.23333	6.13		11.470		8.658		9.42		85.73											
2018	05	23	07	11	31	2018_77FY_	BY31	58.58333	18.23333	6.35		11.426		8.635		9.44		80.67											
2018	05	23	07	11	32	2018_77FY_	BY31	58.58333	18.23333	6.62		11.309		8.683		9.44		73.61											
2018	05	23	07	11	32	2018_77FY_	BY31	58.58333	18.23333	6.89		11.329		8.692		9.46		66.83											
2018	05	23	07	11	33	2018_77FY_	BY31	58.58333	18.23333	7.17		11.071		8.633		9.53		60.97											
2018	05	23	07	11	34	2018_77FY_	BY31	58.58333	18.23333	7.38		10.930		8.602		9.54		58.04											
2018	05	23	07	11	34	2018_77FY_	BY31	58.58333	18.23333	7.61		10.899		8.595		9.52		54.18											
2018	05	23	07	11	35	2018_77FY_	BY31	58.58333	18.23333	7.86		10.899		8.614		9.50		50.18											
2018	05	23	07	11	36	2018_77FY_	BY31	58.58333	18.23333	8.14		10.982		8.635		9.46		46.46											
2018	05	23	07	11	37	2018_77FY_	BY31	58.58333	18.23333	8.37		10.966		8.631		9.46		43.66											
2018	05	23	07	11	38	2018_77FY_	BY31	58.58333	18.23333	8.62		10.953		8.629		9.45		40.87											
2018	05	23	07	11	38	2018_77FY_	BY31	58.58333	18.23333	8.85		10.967		8.638		9.44		38.34											
2018	05	23	07	11	39	2018_77FY_	BY31	58.58333	18.23333	9.13		10.978		8.643		9.42		35.41											
2018	05	23	07	11	40	2018_77FY_	BY31	58.58333	18.23333	9.35		10.926		8.624		9.43		33.01											
2018	05	23	07	11	41	2018_77FY_	BY31	58.58333	18.23333	9.63		10.774		8.571		9.46		31.15											
2018	05	23	07	11	41	2018_77FY_	BY31	58.58333	18.23333	9.89		10.472		8.462		9.53		29.42											
2018	05	23	07	11	42	2018_77FY_	BY31	58.58333	18.23333	10.13		10.126		8.360		9.58		27.55											
2018	05	23	07	11	43	2018_77FY_	BY31	58.58333	18.23333	10.35		9.838		8.309		9.63		25.96											
2018	05	23	07	11	44	2018_77FY_	BY31	58.58333	18.23333	10.60		9.941		8.395		9.55		24.49											
2018	05	23	07	11	44	2018_77FY_	BY31	58.58333	18.23333	10.89		9.910		8.401		9.56		22.89											
2018	05	23	07	11	45	2018_77FY_	BY31	58.58333	18.23333	11.12		9.897		8.401		9.56		21.70											
2018	05	23	07	11	46	2018_77FY_	BY31	58.58333	18.23333	11.39		9.871		8.397		9.57		20.37											
2018	05	23	07	11	46	2018_77FY_	BY31	58.58333	18.23333	11.63		9.796		8.379		9.59		19.17											
2018	05	23	07	11	47	2018_77FY_	BY31	58.58333	18.23333	11.87		9.704		8.357		9.60		17.97											
2018	05	23	07	11	48	2018_77FY_	BY31	58.58333	18.23333	12.17		9.594		8.331		9.61		16.90											
2018	05	23	07	11	48	2018_77FY_	BY31	58.58333	18.23333	12.39		9.475		8.303		9.64		16.11											
2018	05	23	07	11	49	2018_77FY_	BY31	58.58333	18.23333	12.61		9.343		8.275		9.67		15.17											
2018	05	23	07	11	49	2018_77FY_	BY31	58.58333	18.23333	12.85		9.229		8.254		9.70		14.37											
2018	05	23	07	11	50	2018_77FY_	BY31	58.58333	18.23333	13.15		8.866		8.170		9.79		13.18											
2018	05	23	07	11	51	2018_77FY_	BY31	58.58333	18.23333	13.37		8.657		8.104		9.82		12.51											
2018	05	23	07	11	51	2018_77FY_	BY31	58.58333	18.23333	13.68		8.171		8.018		9.94		11.45											
2018	05	23	07	11	52	2018_77FY_	BY31	58.58333	18.23333	13.85		8.027		7.986		9.98		11.05											
2018	05	23	07	11	52	2018_77FY_	BY31	58.58333	18.23333	14.12		7.485		7.848		10.16		10.25											
2018	05	23	07	11	53	2018_77FY_	BY31	58.58333	18.23333	14.40		6.699		7.682		10.38		9.45											
2018	05	23	07	11	53	2018_77FY_	BY31	58.58333	18.23333	14.68		6.220		7.609		10.46		8.78											
2018	05	23	07	11	54	2018_77FY_	BY31	58.58333	18.23333	14.93		6.060		7.601		10.43		8.25											
2018	05	23	07	11	54	2018_77FY_	BY31	58.58333	18.23333	15.19		5.904		7.582		10.44		7.85											
2018	05	23	07	11	55	2018_77FY_	BY31	58.58333	18.23333	15.41		5.839		7.584		10.41		7.45											
