//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-07-31
//METADATA;STIME;12:35
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0129
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;454
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By311807312.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180731_77FY_0129.txt
//METADATA;WINDIR;14
//METADATA;WINSP;4
//METADATA;AIRTEMP;23
//METADATA;AIRPRES;
//METADATA;WEATH;0
//METADATA;CLOUD;0
//METADATA;WAVES;2
//METADATA;ICEOB;0
//METADATA;timestamp;2018-07-31 12:35:16
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.15  25.10.2013
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM908\CONFIG\CTM908.SPJ
//INSTRUMENT_METADATA;den 1 augusti 2018 07:19:27
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2013
//INSTRUMENT_METADATA;001 CTM908 001  N  Vbatt  Volt -1.56613000000E+0001  5.02053000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 002  P  Press  dbar -2.84592700000E+0001  8.80824000000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -1.49586640000E-0001 
//INSTRUMENT_METADATA;001 CTM908 003  N   Temp    °C -2.33626400000E+0000  5.89281300000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 004  N   Cond mS/cm -3.17130950000E-0001  1.21221819000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 005 VO4 rawO2    mV -9.24121000000E+0000  7.82771000000E-0002  1.01900000000E+0003  0.00000000000E+0000  1.43320858000E+0002  1.12034222000E+0000 
//INSTRUMENT_METADATA;001 CTM908 006 N24  T_iS   °C  -8.73922000000E-0003  7.86519000000E-0005 -1.00147000000E+0001  4.95301000000E+0001  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM908 007 NFC   PAR   µE  -2.58676000000E-0003  7.84093000000E-0005  0.00000000000E+0000  0.00000000000E+0000  1.25961000000E-0001  1.62804000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD908\By311807312.SRD
//INSTRUMENT_METADATA;Lines :       1776
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA      sat    DO_mg    DO_ml      PAR    Vbatt     T_iS   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [   % ]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt]  [  °C ] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	07	31	12	35	16	2018_77FY_	BY31	58.58333	18.23333	0.49		22.444		-0.059		5.89		2614.85											
2018	07	31	12	40	31	2018_77FY_	BY31	58.58333	18.23333	0.78		24.441		10.851		6.04		383.47											
2018	07	31	12	40	35	2018_77FY_	BY31	58.58333	18.23333	0.97		24.400		10.867		6.12		1348.02											
2018	07	31	12	40	39	2018_77FY_	BY31	58.58333	18.23333	1.26		24.413		10.870		6.16		1265.81											
2018	07	31	12	40	39	2018_77FY_	BY31	58.58333	18.23333	1.49		24.349		10.856		6.17		1557.37											
2018	07	31	12	40	39	2018_77FY_	BY31	58.58333	18.23333	1.70		24.272		10.850		6.17		1176.96											
2018	07	31	12	40	40	2018_77FY_	BY31	58.58333	18.23333	1.98		24.124		10.829		6.17		834.34											
2018	07	31	12	40	43	2018_77FY_	BY31	58.58333	18.23333	2.19		24.135		10.835		6.20		752.13											
2018	07	31	12	41	05	2018_77FY_	BY31	58.58333	18.23333	2.48		23.963		10.795		6.25		283.39											
2018	07	31	12	41	06	2018_77FY_	BY31	58.58333	18.23333	2.74		23.739		10.771		6.26		236.41											
2018	07	31	12	41	06	2018_77FY_	BY31	58.58333	18.23333	2.95		23.648		10.760		6.26		195.05											
2018	07	31	12	41	07	2018_77FY_	BY31	58.58333	18.23333	3.22		23.595		10.749		6.27		169.52											
2018	07	31	12	41	07	2018_77FY_	BY31	58.58333	18.23333	3.46		23.557		10.740		6.30		132.25											
2018	07	31	12	41	08	2018_77FY_	BY31	58.58333	18.23333	3.78		23.501		10.710		6.31		102.63											
2018	07	31	12	41	08	2018_77FY_	BY31	58.58333	18.23333	4.01		23.460		10.691		6.31		94.46											
2018	07	31	12	41	09	2018_77FY_	BY31	58.58333	18.23333	4.25		23.417		10.674		6.31		86.80											
2018	07	31	12	41	09	2018_77FY_	BY31	58.58333	18.23333	4.55		23.379		10.663		6.30		78.63											
2018	07	31	12	41	09	2018_77FY_	BY31	58.58333	18.23333	4.70		23.365		10.662		6.29		74.55											
2018	07	31	12	41	10	2018_77FY_	BY31	58.58333	18.23333	4.99		23.345		10.661		6.27		66.38											
2018	07	31	12	41	10	2018_77FY_	BY31	58.58333	18.23333	5.26		23.329		10.661		6.27		59.74											
2018	07	31	12	41	10	2018_77FY_	BY31	58.58333	18.23333	5.51		23.322		10.660		6.27		55.15											
2018	07	31	12	41	11	2018_77FY_	BY31	58.58333	18.23333	5.76		23.300		10.664		6.27		51.06											
2018	07	31	12	41	11	2018_77FY_	BY31	58.58333	18.23333	6.02		23.302		10.713		6.26		46.98											
2018	07	31	12	41	11	2018_77FY_	BY31	58.58333	18.23333	6.23		23.348		10.851		6.25		43.91											
2018	07	31	12	41	12	2018_77FY_	BY31	58.58333	18.23333	6.45		23.389		10.943		6.25		40.85											
2018	07	31	12	41	12	2018_77FY_	BY31	58.58333	18.23333	6.77		23.348		11.000		6.25		36.76											
2018	07	31	12	41	13	2018_77FY_	BY31	58.58333	18.23333	7.02		23.254		11.058		6.25		34.21											
2018	07	31	12	41	13	2018_77FY_	BY31	58.58333	18.23333	7.31		23.117		11.114		6.24		31.66											
2018	07	31	12	41	13	2018_77FY_	BY31	58.58333	18.23333	7.45		23.065		11.118		6.24		30.64											
2018	07	31	12	41	13	2018_77FY_	BY31	58.58333	18.23333	7.77		23.024		11.117		6.20		28.08											
2018	07	31	12	41	14	2018_77FY_	BY31	58.58333	18.23333	8.09		22.991		11.103		6.16		25.53											
2018	07	31	12	41	14	2018_77FY_	BY31	58.58333	18.23333	8.24		22.972		11.100		6.16		24.51											
2018	07	31	12	41	14	2018_77FY_	BY31	58.58333	18.23333	8.57		22.946		11.090		6.13		22.47											
2018	07	31	12	41	15	2018_77FY_	BY31	58.58333	18.23333	8.72		22.929		11.083		6.13		21.45											
2018	07	31	12	41	15	2018_77FY_	BY31	58.58333	18.23333	9.00		22.768		10.975		6.12		19.91											
2018	07	31	12	41	15	2018_77FY_	BY31	58.58333	18.23333	9.25		22.523		10.961		6.10		18.89											
2018	07	31	12	41	16	2018_77FY_	BY31	58.58333	18.23333	9.49		22.520		10.954		6.08		17.87											
2018	07	31	12	41	16	2018_77FY_	BY31	58.58333	18.23333	9.72		22.391		10.868		6.11		16.85											
2018	07	31	12	41	16	2018_77FY_	BY31	58.58333	18.23333	9.94		22.141		10.800		6.11		15.83											
2018	07	31	12	41	17	2018_77FY_	BY31	58.58333	18.23333	10.19		21.718		10.617		6.12		15.32											
2018	07	31	12	41	17	2018_77FY_	BY31	58.58333	18.23333	10.55		20.260		10.162		6.23		13.79											
2018	07	31	12	41	17	2018_77FY_	BY31	58.58333	18.23333	10.69		19.746		10.073		6.28		13.28											
2018	07	31	12	41	18	2018_77FY_	BY31	58.58333	18.23333	10.98		19.084		9.954		6.34		12.25											
2018	07	31	12	41	18	2018_77FY_	BY31	58.58333	18.23333	11.26		18.621		9.811		6.43		11.23											
2018	07	31	12	41	19	2018_77FY_	BY31	58.58333	18.23333	11.53		18.233		9.673		6.53		10.72											
2018	07	31	12	41	19	2018_77FY_	BY31	58.58333	18.23333	11.80		17.822		9.532		6.62		9.70											
2018	07	31	12	41	19	2018_77FY_	BY31	58.58333	18.23333	12.06		17.415		9.396		6.66		9.19											
2018	07	31	12	41	20	2018_77FY_	BY31	58.58333	18.23333	12.28		17.036		9.308		6.70		8.68											
2018	07	31	12	41	20	2018_77FY_	BY31	58.58333	18.23333	12.51		16.793		9.256		6.72		8.17											
2018	07	31	12	41	20	2018_77FY_	BY31	58.58333	18.23333	12.71		16.563		9.183		6.75		7.66											
2018	07	31	12	41	21	2018_77FY_	BY31	58.58333	18.23333	13.04		16.082		9.019		6.72		7.15											
2018	07	31	12	41	21	2018_77FY_	BY31	58.58333	18.23333	13.28		15.705		8.942		6.64		6.64											
2018	07	31	12	41	22	2018_77FY_	BY31	58.58333	18.23333	13.56		15.579		9.080		6.57		6.64											
2018	07	31	12	41	22	2018_77FY_	BY31	58.58333	18.23333	13.71		15.660		9.184		6.49		6.13											
2018	07	31	12	41	22	2018_77FY_	BY31	58.58333	18.23333	14.01		15.787		9.219		6.43		6.13											
2018	07	31	12	41	22	2018_77FY_	BY31	58.58333	18.23333	14.32		15.627		9.153		6.43		5.62											
2018	07	31	12	41	23	2018_77FY_	BY31	58.58333	18.23333	14.48		15.507		9.172		6.42		5.62											
2018	07	31	12	41	23	2018_77FY_	BY31	58.58333	18.23333	14.78		15.371		9.172		6.42		5.11											
2018	07	31	12	41	23	2018_77FY_	BY31	58.58333	18.23333	15.06		15.254		9.127		6.40		4.60											
2018	07	31	12	41	24	2018_77FY_	BY31	58.58333	18.23333	15.30		15.083		9.080		6.37		4.60											
2018	07	31	12	41	24	2018_77FY_	BY31	58.58333	18.23333	15.53		14.928		9.040		6.33		4.08											
2018	07	31	12	41	24	2018_77FY_	BY31	58.58333	18.23333	15.76		14.804		9.007		6.31		4.08											
